date,mslp,tmpf,counts12,counts13,counts23
2024-02-26 22:00:00+00:00,1010.6,73.0,30572.0,14308.0,28478.0
2024-02-26 23:00:00+00:00,,,30725.0,14514.0,28777.0
2024-02-27 00:00:00+00:00,1010.5,69.4,30629.0,14387.0,28614.0
2024-02-27 01:00:00+00:00,1010.8,67.0,30782.0,14553.0,28848.0
2024-02-27 02:00:00+00:00,1011.1,64.6,30484.0,14357.0,28426.0
2024-02-27 03:00:00+00:00,1010.4,64.6,30553.0,14467.0,28759.0
2024-02-27 04:00:00+00:00,1009.9,60.0,30508.0,14281.0,28546.0
2024-02-27 05:00:00+00:00,1009.5,57.6,30722.0,14514.0,28612.0
2024-02-27 06:00:00+00:00,1007.9,60.0,30545.0,14426.0,28604.0
2024-02-27 07:00:00+00:00,1008.2,56.5,30989.0,14595.0,28918.0
2024-02-27 08:00:00+00:00,1007.5,55.0,30651.0,14378.0,28757.0
2024-02-27 09:00:00+00:00,1006.4,55.0,30722.0,14545.0,28811.0
2024-02-27 10:00:00+00:00,1006.4,55.8,31014.0,14640.0,29222.0
2024-02-27 11:00:00+00:00,1007.0,55.6,30673.0,14568.0,28905.0
2024-02-27 12:00:00+00:00,1007.0,55.2,30715.0,14440.0,28842.0
2024-02-27 13:00:00+00:00,1007.4,59.0,30881.0,14591.0,29246.0
2024-02-27 14:00:00+00:00,1008.1,59.0,30866.0,14543.0,29098.0
2024-02-27 15:00:00+00:00,1008.5,63.5,31056.0,14520.0,28863.0
2024-02-27 16:00:00+00:00,1008.8,64.8,30602.0,14458.0,29052.0
2024-02-27 17:00:00+00:00,1008.1,67.6,30820.0,14533.0,28952.0
2024-02-27 18:00:00+00:00,,,31311.0,14639.0,29067.0
2024-02-27 19:00:00+00:00,1006.0,68.4,30743.0,14555.0,29300.0
2024-02-27 20:00:00+00:00,1005.3,69.4,31383.0,15007.0,29589.0
2024-02-27 21:00:00+00:00,1005.3,70.0,31308.0,14697.0,29421.0
2024-02-27 22:00:00+00:00,1005.0,69.6,31242.0,14669.0,29234.0
2024-02-27 23:00:00+00:00,1005.3,68.0,30992.0,14565.0,29338.0
2024-02-28 00:00:00+00:00,1007.3,65.7,30855.0,14497.0,29117.0
2024-02-28 01:00:00+00:00,1008.0,63.3,30969.0,14618.0,29229.0
2024-02-28 02:00:00+00:00,1008.7,62.0,30902.0,14684.0,29040.0
2024-02-28 03:00:00+00:00,1010.1,59.7,30903.0,14535.0,28843.0
2024-02-28 04:00:00+00:00,1010.8,57.7,30853.0,14569.0,29081.0
2024-02-28 05:00:00+00:00,1011.5,54.0,30485.0,14386.0,28569.0
2024-02-28 06:00:00+00:00,1012.2,54.0,30773.0,14528.0,28750.0
2024-02-28 07:00:00+00:00,1012.8,49.0,30851.0,14666.0,29202.0
2024-02-28 08:00:00+00:00,1012.9,51.3,30788.0,14595.0,28948.0
2024-02-28 09:00:00+00:00,1013.2,48.6,30757.0,14333.0,28502.0
2024-02-28 10:00:00+00:00,1013.5,48.0,30674.0,14247.0,28534.0
2024-02-28 11:00:00+00:00,1014.8,43.5,30648.0,14477.0,28744.0
2024-02-28 12:00:00+00:00,1016.1,41.0,30633.0,14407.0,28777.0
2024-02-28 13:00:00+00:00,1017.4,40.6,30647.0,14420.0,28848.0
2024-02-28 14:00:00+00:00,1018.2,46.6,30464.0,14260.0,28484.0
2024-02-28 15:00:00+00:00,1018.2,51.0,30788.0,14365.0,28673.0
2024-02-28 16:00:00+00:00,1018.3,55.0,30916.0,14419.0,28827.0
2024-02-28 17:00:00+00:00,1018.9,57.0,30810.0,14505.0,28709.0
2024-02-28 18:00:00+00:00,1018.6,58.5,30626.0,14331.0,28525.0
2024-02-28 19:00:00+00:00,1018.9,58.0,30599.0,14492.0,28870.0
