date,tmpf,mslp,counts12,counts13,counts23
2025-09-26 05:00:00+00:00,49.1,1027.5116666666663,8981.0,4415.0,9032.0
2025-09-26 06:00:00+00:00,54.5,1027.0975,8993.0,4458.0,9027.0
2025-09-26 07:00:00+00:00,58.1,1026.68,9045.0,4518.0,9078.0
2025-09-26 08:00:00+00:00,58.1,1026.35,8777.0,4279.0,8902.0
2025-09-26 09:00:00+00:00,62.6,1026.075833333333,8979.0,4344.0,8962.0
2025-09-26 10:00:00+00:00,59.9,1025.9875,9062.0,4424.0,9107.0
2025-09-26 11:00:00+00:00,60.8,1025.8016666666665,9044.0,4418.0,9002.0
2025-09-26 12:00:00+00:00,59.9,1025.674166666667,8907.0,4287.0,8887.0
2025-09-26 13:00:00+00:00,59.0,1025.7783333333334,9072.0,4441.0,9149.0
2025-09-26 14:00:00+00:00,56.3,1025.7625,9030.0,4430.0,9036.0
2025-09-26 15:00:00+00:00,54.5,1025.5533333333333,9030.0,4405.0,9005.0
2025-09-26 16:00:00+00:00,52.7,1025.3108333333332,9057.0,4403.0,8954.0
2025-09-26 17:00:00+00:00,50.9,1025.195,9054.0,4398.0,9041.0
2025-09-26 18:00:00+00:00,50.0,1024.825,9151.0,4441.0,8975.0
2025-09-26 19:00:00+00:00,48.2,1024.5191666666667,8785.0,4306.0,8848.0
2025-09-26 20:00:00+00:00,46.400000000000006,1024.3533333333332,8936.0,4424.0,9124.0
2025-09-26 21:00:00+00:00,41.9,1024.0908333333334,9084.0,4358.0,8913.0
2025-09-26 22:00:00+00:00,40.1,1023.9658333333332,9124.0,4508.0,9041.0
2025-09-26 23:00:00+00:00,38.3,1023.8016666666668,9069.0,4499.0,9000.0
2025-09-27 00:00:00+00:00,37.4,1023.805,8958.0,4355.0,8849.0
2025-09-27 01:00:00+00:00,35.6,1024.0058333333334,8828.0,4341.0,8932.0
2025-09-27 02:00:00+00:00,35.6,1024.0533333333333,8992.0,4488.0,9059.0
2025-09-27 03:00:00+00:00,36.5,1024.1916666666668,8919.0,4344.0,8959.0
2025-09-27 04:00:00+00:00,42.8,1024.2658333333334,9230.0,4439.0,8949.0
2025-09-27 05:00:00+00:00,52.7,1024.1475,9088.0,4489.0,9147.0
2025-09-27 06:00:00+00:00,58.1,1023.65,9188.0,4439.0,9167.0
2025-09-27 07:00:00+00:00,60.8,1023.3316666666666,9156.0,4473.0,9158.0
2025-09-27 08:00:00+00:00,62.6,1022.8825,9082.0,4446.0,9139.0
2025-09-27 09:00:00+00:00,62.6,1022.5,8957.0,4402.0,9019.0
2025-09-27 10:00:00+00:00,62.6,1022.4141666666666,8918.0,4305.0,8931.0
2025-09-27 11:00:00+00:00,62.6,1022.3991666666668,9120.0,4417.0,8985.0
2025-09-27 12:00:00+00:00,62.6,1022.3108333333332,9037.0,4389.0,9003.0
2025-09-27 13:00:00+00:00,59.9,1022.2533333333334,9045.0,4377.0,8935.0
2025-09-27 14:00:00+00:00,57.2,1022.4308333333332,8981.0,4345.0,9027.0
2025-09-27 15:00:00+00:00,55.4,1022.6008333333332,9104.0,4403.0,9048.0
2025-09-27 16:00:00+00:00,53.6,1022.8183333333332,8970.0,4325.0,8941.0
2025-09-27 17:00:00+00:00,53.6,1022.7225,8991.0,4372.0,8936.0
2025-09-27 18:00:00+00:00,52.7,1022.4525,9127.0,4451.0,8988.0
2025-09-27 19:00:00+00:00,49.1,1022.2116666666668,9190.0,4463.0,9079.0
2025-09-27 20:00:00+00:00,44.6,1022.0883333333333,9020.0,4427.0,8975.0
2025-09-27 21:00:00+00:00,44.6,1021.9591666666666,9077.0,4422.0,9050.0
2025-09-27 22:00:00+00:00,42.8,1021.9591666666666,9009.0,4356.0,8965.0
2025-09-27 23:00:00+00:00,42.8,1021.8475,9044.0,4424.0,8991.0
2025-09-28 00:00:00+00:00,44.6,1022.0225,9015.0,4327.0,8940.0
2025-09-28 01:00:00+00:00,47.3,1022.1175,8941.0,4310.0,8943.0
2025-09-28 02:00:00+00:00,50.0,1022.0675,9046.0,4399.0,8997.0
2025-09-28 03:00:00+00:00,50.0,1021.9716666666668,9079.0,4403.0,9120.0
2025-09-28 04:00:00+00:00,50.9,1021.8325,8997.0,4432.0,9125.0
2025-09-28 05:00:00+00:00,52.7,1021.8016666666668,8988.0,4377.0,8984.0
2025-09-28 06:00:00+00:00,54.5,1021.625,9243.0,4578.0,9099.0
2025-09-28 07:00:00+00:00,57.2,1021.2341666666666,9054.0,4382.0,8939.0
2025-09-28 08:00:00+00:00,59.9,1021.0733333333332,9108.0,4461.0,9106.0
2025-09-28 09:00:00+00:00,61.7,1021.0925,8976.0,4414.0,9074.0
2025-09-28 10:00:00+00:00,60.8,1021.1316666666668,9063.0,4356.0,8940.0
2025-09-28 11:00:00+00:00,60.8,1021.3016666666668,9029.0,4372.0,8839.0
2025-09-28 12:00:00+00:00,60.8,1021.49,8869.0,4355.0,8881.0
2025-09-28 13:00:00+00:00,59.0,1021.7375,8774.0,4335.0,8913.0
2025-09-28 14:00:00+00:00,57.2,1021.7283333333334,8946.0,4287.0,8824.0
2025-09-28 15:00:00+00:00,52.7,1021.6091666666666,9009.0,4423.0,9079.0
2025-09-28 16:00:00+00:00,47.3,1021.5008333333334,8901.0,4311.0,8796.0
