date,mslp,tmpf,counts12,counts13,counts23
2025-10-16 21:00:00+00:00,1014.0,82.0,5547.0,2465.0,5609.0
2025-10-16 22:00:00+00:00,1014.2,79.0,5653.0,2615.0,5937.0
2025-10-16 23:00:00+00:00,1014.5,74.0,5453.0,2463.0,5579.0
2025-10-17 00:00:00+00:00,1014.9,72.0,5479.0,2457.0,5705.0
2025-10-17 01:00:00+00:00,1015.3,70.0,5485.0,2518.0,5666.0
2025-10-17 02:00:00+00:00,1015.5,68.0,5472.0,2534.0,5739.0
2025-10-17 03:00:00+00:00,1015.8,68.0,5545.0,2466.0,5735.0
2025-10-17 04:00:00+00:00,1015.9,66.0,5436.0,2502.0,5718.0
2025-10-17 05:00:00+00:00,1015.9,63.0,5419.0,2460.0,5651.0
2025-10-17 06:00:00+00:00,1015.7,63.0,5434.0,2426.0,5576.0
2025-10-17 07:00:00+00:00,1015.7,62.0,5474.0,2387.0,5524.0
2025-10-17 08:00:00+00:00,1016.1,61.0,5395.0,2344.0,5362.0
2025-10-17 09:00:00+00:00,1016.6,60.0,5366.0,2391.0,5514.0
2025-10-17 10:00:00+00:00,1017.0,59.0,5433.0,2482.0,5474.0
2025-10-17 11:00:00+00:00,1017.6,59.0,5411.0,2477.0,5518.0
2025-10-17 12:00:00+00:00,1018.1,62.0,5522.0,2446.0,5535.0
2025-10-17 13:00:00+00:00,1018.7,67.0,5458.0,2443.0,5595.0
2025-10-17 14:00:00+00:00,1018.9,72.0,5561.0,2575.0,5726.0
2025-10-17 15:00:00+00:00,1018.6,75.0,5357.0,2399.0,5474.0
2025-10-17 16:00:00+00:00,1018.1,77.0,5464.0,2474.0,5608.0
2025-10-17 17:00:00+00:00,1017.2,79.0,5554.0,2544.0,5647.0
2025-10-17 18:00:00+00:00,1015.9,81.0,5451.0,2458.0,5599.0
2025-10-17 19:00:00+00:00,1015.2,81.0,5460.0,2490.0,5610.0
2025-10-17 20:00:00+00:00,1014.6,82.0,5438.0,2458.0,5639.0
2025-10-17 21:00:00+00:00,1014.7,80.0,5326.0,2439.0,5705.0
2025-10-17 22:00:00+00:00,1014.8,78.0,5519.0,2462.0,5655.0
2025-10-17 23:00:00+00:00,1014.9,74.0,5482.0,2503.0,5720.0
2025-10-18 00:00:00+00:00,1015.6,72.0,5518.0,2550.0,5705.0
2025-10-18 01:00:00+00:00,1016.2,70.0,5526.0,2509.0,5703.0
2025-10-18 02:00:00+00:00,1016.0,69.0,5437.0,2485.0,5605.0
2025-10-18 03:00:00+00:00,1016.0,67.0,5405.0,2452.0,5621.0
2025-10-18 04:00:00+00:00,1015.8,66.0,5417.0,2440.0,5663.0
2025-10-18 05:00:00+00:00,1015.8,65.0,5444.0,2451.0,5585.0
2025-10-18 06:00:00+00:00,1015.8,64.0,5405.0,2448.0,5606.0
2025-10-18 07:00:00+00:00,1015.7,64.0,5403.0,2453.0,5396.0
2025-10-18 08:00:00+00:00,1016.0,65.0,5420.0,2464.0,5530.0
2025-10-18 09:00:00+00:00,1016.5,63.0,5497.0,2462.0,5658.0
2025-10-18 10:00:00+00:00,1017.1,63.0,5444.0,2497.0,5647.0
2025-10-18 11:00:00+00:00,1017.7,61.0,5425.0,2493.0,5554.0
2025-10-18 12:00:00+00:00,1018.3,64.0,5522.0,2524.0,5618.0
2025-10-18 13:00:00+00:00,1018.7,65.0,5483.0,2455.0,5503.0
2025-10-18 14:00:00+00:00,1019.1,68.0,5393.0,2452.0,5528.0
2025-10-18 15:00:00+00:00,1018.8,73.0,5445.0,2425.0,5611.0
2025-10-18 16:00:00+00:00,1017.9,77.0,5384.0,2438.0,5577.0
2025-10-18 17:00:00+00:00,1017.1,77.0,5375.0,2379.0,5448.0
2025-10-18 18:00:00+00:00,1016.0,81.0,5550.0,2484.0,5575.0
2025-10-18 19:00:00+00:00,1015.1,80.0,5519.0,2493.0,5554.0
2025-10-18 20:00:00+00:00,1015.0,80.0,5420.0,2508.0,5661.0
2025-10-18 21:00:00+00:00,1014.7,80.0,5546.0,2519.0,5738.0
2025-10-18 22:00:00+00:00,1014.6,78.0,5401.0,2372.0,5472.0
2025-10-18 23:00:00+00:00,1014.5,75.0,5497.0,2451.0,5541.0
2025-10-19 00:00:00+00:00,1015.5,73.0,5554.0,2538.0,5702.0
2025-10-19 01:00:00+00:00,1016.1,71.0,5406.0,2433.0,5624.0
2025-10-19 02:00:00+00:00,1016.0,71.0,5477.0,2454.0,5611.0
2025-10-19 03:00:00+00:00,1015.1,70.0,5523.0,2535.0,5644.0
2025-10-19 04:00:00+00:00,1015.1,68.0,5493.0,2478.0,5608.0
2025-10-19 05:00:00+00:00,1014.3,68.0,5544.0,2460.0,5612.0
2025-10-19 06:00:00+00:00,1014.2,66.0,5501.0,2474.0,5615.0
2025-10-19 07:00:00+00:00,1013.3,65.0,5429.0,2516.0,5643.0
2025-10-19 08:00:00+00:00,1012.5,65.0,5485.0,2488.0,5603.0
2025-10-19 09:00:00+00:00,1011.8,64.0,5528.0,2529.0,5590.0
2025-10-19 10:00:00+00:00,1012.1,64.0,5374.0,2421.0,5516.0
2025-10-19 11:00:00+00:00,1014.2,62.0,5384.0,2442.0,5582.0
2025-10-19 12:00:00+00:00,1012.7,62.0,5520.0,2522.0,5572.0
2025-10-19 13:00:00+00:00,1012.8,62.0,5434.0,2489.0,5622.0
2025-10-19 14:00:00+00:00,1013.4,64.0,5288.0,2405.0,5581.0
2025-10-19 15:00:00+00:00,1013.3,68.0,5581.0,2488.0,5640.0
2025-10-19 16:00:00+00:00,1012.5,73.0,5408.0,2407.0,5593.0
2025-10-19 17:00:00+00:00,1012.1,72.0,5548.0,2464.0,5644.0
2025-10-19 18:00:00+00:00,1011.5,77.0,5363.0,2412.0,5566.0
2025-10-19 19:00:00+00:00,1011.4,78.0,5555.0,2519.0,5655.0
2025-10-19 20:00:00+00:00,1011.7,75.0,5543.0,2523.0,5661.0
2025-10-19 21:00:00+00:00,1012.5,76.0,5432.0,2465.0,5713.0
2025-10-19 22:00:00+00:00,1014.2,70.0,5439.0,2537.0,5578.0
2025-10-19 23:00:00+00:00,1015.7,66.0,5379.0,2373.0,5555.0
