date,mslp,tmpf,counts12,counts13,counts23
2025-10-16 21:00:00+00:00,1014.0,82.0,5777,2533,6026
2025-10-16 22:00:00+00:00,1014.2,79.0,5709,2502,6013
2025-10-16 23:00:00+00:00,1014.5,74.0,5651,2539,5953
2025-10-17 00:00:00+00:00,1014.9,72.0,5795,2570,6129
2025-10-17 01:00:00+00:00,1015.3,70.0,5779,2522,6024
2025-10-17 02:00:00+00:00,1015.5,68.0,5781,2605,6180
2025-10-17 03:00:00+00:00,1015.8,68.0,5599,2454,5829
2025-10-17 04:00:00+00:00,1015.9,66.0,5740,2628,6074
2025-10-17 05:00:00+00:00,1015.9,63.0,5898,2651,6107
2025-10-17 06:00:00+00:00,1015.7,63.0,5656,2506,5980
2025-10-17 07:00:00+00:00,1015.7,62.0,5663,2464,5830
2025-10-17 08:00:00+00:00,1016.1,61.0,5610,2473,5892
2025-10-17 09:00:00+00:00,1016.6,60.0,5720,2512,6052
2025-10-17 10:00:00+00:00,1017.0,59.0,5634,2548,5957
2025-10-17 11:00:00+00:00,1017.6,59.0,5792,2619,5988
2025-10-17 12:00:00+00:00,1018.1,62.0,5619,2462,5837
2025-10-17 13:00:00+00:00,1018.7,67.0,5637,2563,6059
2025-10-17 14:00:00+00:00,1018.9,72.0,5520,2433,5973
2025-10-17 15:00:00+00:00,1018.6,75.0,5617,2494,5988
2025-10-17 16:00:00+00:00,1018.1,77.0,5583,2518,6011
2025-10-17 17:00:00+00:00,1017.2,79.0,5626,2495,5927
2025-10-17 18:00:00+00:00,1015.9,81.0,5539,2488,6018
2025-10-17 19:00:00+00:00,1015.2,81.0,5551,2449,5990
2025-10-17 20:00:00+00:00,1014.6,82.0,5692,2550,6023
2025-10-17 21:00:00+00:00,1014.7,80.0,5671,2491,5974
2025-10-17 22:00:00+00:00,1014.8,78.0,5815,2538,6017
2025-10-17 23:00:00+00:00,1014.9,74.0,5600,2503,5867
2025-10-18 00:00:00+00:00,1015.6,72.0,5666,2599,6193
2025-10-18 01:00:00+00:00,1016.2,70.0,5471,2477,5930
2025-10-18 02:00:00+00:00,1016.0,69.0,5786,2551,6076
2025-10-18 03:00:00+00:00,1016.0,67.0,5460,2355,5773
2025-10-18 04:00:00+00:00,1015.8,66.0,5585,2465,5966
2025-10-18 05:00:00+00:00,1015.8,65.0,5616,2543,6028
2025-10-18 06:00:00+00:00,1015.8,64.0,5649,2486,5834
2025-10-18 07:00:00+00:00,1015.7,64.0,5700,2537,6047
2025-10-18 08:00:00+00:00,1016.0,65.0,5695,2528,5981
2025-10-18 09:00:00+00:00,1016.5,63.0,5622,2510,5927
2025-10-18 10:00:00+00:00,1017.1,63.0,5645,2529,6019
2025-10-18 11:00:00+00:00,1017.7,61.0,5729,2542,5890
2025-10-18 12:00:00+00:00,1018.3,64.0,5829,2651,6143
2025-10-18 13:00:00+00:00,1018.7,65.0,5559,2510,5921
2025-10-18 14:00:00+00:00,1019.1,68.0,5661,2469,6012
2025-10-18 15:00:00+00:00,1018.8,73.0,5762,2563,6023
2025-10-18 16:00:00+00:00,1017.9,77.0,5714,2457,5820
2025-10-18 17:00:00+00:00,1017.1,77.0,5666,2509,6018
2025-10-18 18:00:00+00:00,1016.0,81.0,5620,2462,5986
2025-10-18 19:00:00+00:00,1015.1,80.0,5674,2548,5922
2025-10-18 20:00:00+00:00,1015.0,80.0,5561,2487,5935
2025-10-18 21:00:00+00:00,1014.7,80.0,5676,2515,5976
2025-10-18 22:00:00+00:00,1014.6,78.0,5680,2531,5953
2025-10-18 23:00:00+00:00,1014.5,75.0,5654,2436,5895
2025-10-19 00:00:00+00:00,1015.5,73.0,5569,2511,5809
2025-10-19 01:00:00+00:00,1016.1,71.0,5701,2564,5999
2025-10-19 02:00:00+00:00,1016.0,71.0,5793,2565,6061
2025-10-19 03:00:00+00:00,1015.1,70.0,5720,2555,6105
2025-10-19 04:00:00+00:00,1015.1,68.0,5721,2478,5963
2025-10-19 05:00:00+00:00,1014.3,68.0,5703,2479,5875
2025-10-19 06:00:00+00:00,1014.2,66.0,5754,2562,5964
2025-10-19 07:00:00+00:00,1013.3,65.0,5593,2512,6033
2025-10-19 08:00:00+00:00,1012.5,65.0,5785,2611,5997
2025-10-19 09:00:00+00:00,1011.8,64.0,5679,2477,6028
2025-10-19 10:00:00+00:00,1012.1,64.0,5708,2607,6048
2025-10-19 11:00:00+00:00,1014.2,62.0,5642,2542,6045
2025-10-19 12:00:00+00:00,1012.7,62.0,5596,2458,5945
2025-10-19 13:00:00+00:00,1012.8,62.0,5640,2529,6081
2025-10-19 14:00:00+00:00,1013.4,64.0,5770,2523,5981
2025-10-19 15:00:00+00:00,1013.3,68.0,5728,2575,5966
2025-10-19 16:00:00+00:00,1012.5,73.0,5652,2561,5947
2025-10-19 17:00:00+00:00,1012.1,72.0,5704,2527,6010
2025-10-19 18:00:00+00:00,1011.5,77.0,5660,2490,5881
2025-10-19 19:00:00+00:00,1011.4,78.0,5675,2547,6085
2025-10-19 20:00:00+00:00,1011.7,75.0,5697,2523,6013
2025-10-19 21:00:00+00:00,1012.5,76.0,5858,2580,5985
2025-10-19 22:00:00+00:00,1014.2,70.0,5727,2505,5999
2025-10-19 23:00:00+00:00,1015.7,66.0,5701,2622,6043
2025-10-20 00:00:00+00:00,1016.8,63.0,5607,2503,6002
2025-10-20 01:00:00+00:00,1018.1,61.0,5678,2578,6018
2025-10-20 02:00:00+00:00,1019.3,59.0,5728,2539,5985
2025-10-20 03:00:00+00:00,1019.8,57.0,5714,2592,5977
2025-10-20 04:00:00+00:00,1019.6,55.0,5577,2513,5920
2025-10-20 05:00:00+00:00,1019.7,55.0,5581,2459,5797
2025-10-20 06:00:00+00:00,1019.7,52.0,5564,2500,5907
2025-10-20 07:00:00+00:00,1019.7,53.0,5608,2562,6062
2025-10-20 08:00:00+00:00,1019.8,52.0,5456,2424,5868
2025-10-20 09:00:00+00:00,1020.4,52.0,5576,2450,5869
2025-10-20 10:00:00+00:00,1021.0,52.0,5593,2433,5777
2025-10-20 11:00:00+00:00,1021.6,50.0,5544,2404,5774
2025-10-20 12:00:00+00:00,1022.0,53.0,5638,2480,5950
2025-10-20 13:00:00+00:00,1022.6,58.0,5720,2512,5870
2025-10-20 14:00:00+00:00,1022.5,63.0,5583,2478,5758
2025-10-20 15:00:00+00:00,1022.8,66.0,5686,2523,5953
2025-10-20 16:00:00+00:00,1022.1,68.0,5622,2452,5795
2025-10-20 17:00:00+00:00,1021.1,69.0,5734,2532,5995
2025-10-20 18:00:00+00:00,1020.1,73.0,5614,2491,5969
2025-10-20 19:00:00+00:00,1019.5,75.0,5750,2610,6141
2025-10-20 20:00:00+00:00,1018.6,74.0,5743,2469,5944
2025-10-20 21:00:00+00:00,1017.9,73.0,5563,2438,5842
2025-10-20 22:00:00+00:00,1017.8,69.0,5589,2489,6015
2025-10-20 23:00:00+00:00,1018.3,66.0,5616,2403,5831
2025-10-21 00:00:00+00:00,1018.4,63.0,5621,2434,5895
2025-10-21 01:00:00+00:00,1018.6,61.0,5730,2492,6008
2025-10-21 02:00:00+00:00,1018.7,58.0,5680,2492,5805
2025-10-21 03:00:00+00:00,1018.6,58.0,5645,2484,6054
2025-10-21 04:00:00+00:00,1018.3,54.0,5710,2581,5853
2025-10-21 05:00:00+00:00,1018.3,56.0,5583,2475,5839
2025-10-21 06:00:00+00:00,1018.0,55.0,5647,2549,5989
2025-10-21 07:00:00+00:00,1018.1,54.0,5618,2455,5948
2025-10-21 08:00:00+00:00,1018.4,52.0,5739,2539,5987
2025-10-21 09:00:00+00:00,1018.7,50.0,5773,2558,5969
2025-10-21 10:00:00+00:00,1018.7,52.0,5788,2610,6057
2025-10-21 11:00:00+00:00,1018.5,50.0,5802,2633,6052
2025-10-21 12:00:00+00:00,1018.5,55.0,5647,2504,5880
2025-10-21 13:00:00+00:00,1018.2,61.0,5724,2530,5970
2025-10-21 14:00:00+00:00,1018.2,68.0,5726,2527,5959
2025-10-21 15:00:00+00:00,1017.6,73.0,5693,2551,5937
2025-10-21 16:00:00+00:00,1017.0,74.0,5618,2527,6080
2025-10-21 17:00:00+00:00,1015.4,77.0,5676,2591,6027
2025-10-21 18:00:00+00:00,1014.3,80.0,5816,2582,6003
2025-10-21 19:00:00+00:00,1014.0,77.0,5740,2534,6023
2025-10-21 20:00:00+00:00,1014.5,76.0,5619,2506,5831
2025-10-21 21:00:00+00:00,1014.6,73.0,5651,2473,5823
2025-10-21 22:00:00+00:00,1014.2,71.0,5747,2616,6090
2025-10-21 23:00:00+00:00,1014.9,70.0,5613,2408,5868
